概念コード,計算書,親科目コード,収支区分,正規名
LC-00001,BS,BS-A-CUR-T,資産,現金預金
LC-00002,BS,BS-A-CUR-T,資産,定期預金
LC-00003,BS,BS-A-CUR-T,資産,事業未収金
LC-00004,BS,BS-A-CUR-T,資産,未収金
LC-00005,BS,BS-A-CUR-T,資産,未収補助金
LC-00006,BS,BS-A-CUR-T,資産,立替金
LC-00007,BS,BS-A-CUR-T,資産,前払費用
LC-00008,BS,BS-A-CUR-T,資産,１年以内回収予定社会福祉連携推進業務長期貸付金
LC-00009,BS,BS-A-CUR-T,資産,社会福祉連携推進業務短期貸付金
LC-00010,BS,BS-A-CUR-T,資産,短期貸付金
LC-00011,BS,BS-A-CUR-T,資産,事業区分間貸付金
LC-00012,BS,BS-A-CUR-T,資産,拠点区分間貸付金
LC-00013,BS,BS-A-CUR-T,資産,仮払金
LC-00014,BS,BS-A-CUR-T,資産,その他の流動資産
LC-00015,BS,BS-A-CUR-T,資産,貸倒引当金
LC-00016,BS,BS-A-FIX-BASE-T,資産,土地
LC-00017,BS,BS-A-FIX-BASE-T,資産,建物
LC-00018,BS,BS-A-FIX-BASE-T,資産,定期預金
LC-00019,BS,BS-A-FIX-OTH-210,資産,車輛購入積立資産
LC-00020,BS,BS-A-FIX-OTH-210,資産,工賃変動積立資産
LC-00021,BS,BS-A-FIX-OTH-210,資産,備品積立資産
LC-00022,BS,BS-A-FIX-OTH-210,資産,施設整備積立資産
LC-00023,BS,BS-A-FIX-OTH-210,資産,土地
LC-00024,BS,BS-A-FIX-OTH-210,資産,建物
LC-00025,BS,BS-A-FIX-OTH-210,資産,構築物
LC-00026,BS,BS-A-FIX-OTH-210,資産,機械及び装置
LC-00027,BS,BS-A-FIX-OTH-210,資産,車輌運搬具
LC-00028,BS,BS-A-FIX-OTH-210,資産,器具及び備品
LC-00029,BS,BS-A-FIX-OTH-210,資産,建設仮勘定
LC-00030,BS,BS-A-FIX-OTH-210,資産,有形リース資産
LC-00031,BS,BS-A-FIX-OTH-210,資産,権利
LC-00032,BS,BS-A-FIX-OTH-210,資産,ソフトウェア
LC-00033,BS,BS-A-FIX-OTH-210,資産,社会福祉連携推進業務長期貸付金
LC-00034,BS,BS-A-FIX-OTH-210,資産,退職給付引当資産
LC-00035,BS,BS-A-FIX-OTH-210,資産,移行時特別積立資産
LC-00036,BS,BS-A-FIX-OTH-210,資産,修繕積立資産
LC-00037,BS,BS-A-FIX-OTH-210,資産,就労設備等積立資産
LC-00038,BS,BS-A-FIX-OTH-210,資産,長期前払費用
LC-00039,BS,BS-A-FIX-OTH-210,資産,その他の固定資産
LC-00040,BS,BS-A-FIX-OTH-210,資産,貸倒引当金
LC-00041,BS,BS-L-CUR-T,負債,短期運営資金借入金
LC-00042,BS,BS-L-CUR-T,負債,事業未払金
LC-00043,BS,BS-L-CUR-T,負債,その他の未払金
LC-00044,BS,BS-L-CUR-T,負債,社会福祉連携推進業務短期運営資金借入金
LC-00045,BS,BS-L-CUR-T,負債,１年以内返済予定社会福祉連携推進業務設備資金借入金
LC-00046,BS,BS-L-CUR-T,負債,１年以内返済予定設備資金借入金
LC-00047,BS,BS-L-CUR-T,負債,１年以内返済予定社会福祉連携推進業務長期運営資金借入金
LC-00048,BS,BS-L-CUR-T,負債,１年以内返済予定リース債務
LC-00049,BS,BS-L-CUR-T,負債,未払費用
LC-00050,BS,BS-L-CUR-T,負債,預り金
LC-00051,BS,BS-L-CUR-T,負債,職員預り金
LC-00052,BS,BS-L-CUR-T,負債,前受金
LC-00053,BS,BS-L-CUR-T,負債,事業区分間借入金
LC-00054,BS,BS-L-CUR-T,負債,拠点区分間借入金
LC-00055,BS,BS-L-CUR-T,負債,仮受金
LC-00056,BS,BS-L-CUR-T,負債,賞与引当金
LC-00057,BS,BS-L-CUR-T,負債,その他の流動負債
LC-00058,BS,BS-L-FIX-T,負債,社会福祉連携推進業務設備資金借入金
LC-00059,BS,BS-L-FIX-T,負債,設備資金借入金
LC-00060,BS,BS-L-FIX-T,負債,社会福祉連携推進業務長期運営資金借入金
LC-00061,BS,BS-L-FIX-T,負債,リース債務
LC-00062,BS,BS-L-FIX-T,負債,退職給付引当金
LC-00063,BS,BS-L-FIX-T,負債,その他の固定負債
LC-00064,BS,BS-N-OTH-T,純資産,移行時特別積立金
LC-00065,BS,BS-N-OTH-T,純資産,修繕積立金
LC-00066,BS,BS-N-OTH-T,純資産,就労設備等積立金
LC-00067,BS,BS-N-OTH-T,純資産,車輛購入積立金
LC-00068,BS,BS-N-OTH-T,純資産,工賃変動積立金
LC-00069,BS,BS-N-OTH-T,純資産,備品積立金
LC-00070,BS,BS-N-OTH-T,純資産,施設整備積立金
LC-00071,CF,CF-A-EXP-030,支出,賃借料支出
LC-00072,CF,CF-A-EXP-030,支出,土地・建物賃借料支出
LC-00073,CF,CF-A-EXP-030,支出,租税公課支出
LC-00074,CF,CF-A-EXP-030,支出,保守料支出
LC-00075,CF,CF-A-EXP-030,支出,渉外費支出
LC-00076,CF,CF-A-EXP-030,支出,諸会費支出
LC-00077,CF,CF-A-EXP-030,支出,雑支出
LC-00078,CF,CF-A-EXP-040,支出,就労支援事業販売原価支出
LC-00081,CF,CF-A-EXP-070,支出,利用者等外給食費支出
LC-00082,CF,CF-A-EXP-070,支出,法人税、住民税及び事業税支出
LC-00083,CF,CF-A-EXP-070,支出,雑支出
LC-00084,CF,CF-A-EXP-070,支出,雑支出（雑費）
LC-00085,CF,CF-A-EXP-080,支出,貸倒損失額
LC-00086,CF,CF-A-EXP-080,支出,徴収不能額
LC-00087,CF,CF-B-INC-010,収入,施設整備等補助金収入
LC-00088,CF,CF-B-INC-010,収入,設備資金借入金元金償還補助金収入
LC-00089,CF,CF-B-INC-030,収入,車輌運搬具売却収入
LC-00090,CF,CF-B-INC-040,収入,その他の施設整備等による収入
LC-00091,CF,CF-B-EXP-030,支出,土地取得支出
LC-00092,CF,CF-B-EXP-030,支出,建物取得支出
LC-00093,CF,CF-B-EXP-030,支出,車輌運搬具取得支出
